log_bundle_id,log_bundle_size,total_time_taken,event_name
112,7727,00:00:00,Downloading
112,7727,00:00:00,Downloading
112,7727,00:00:00,Metrics Parsing
112,7727,00:01:31,Logs Parsing
112,7727,00:01:32,Parsing
112,7727,00:00:07,Caching
112,7727,00:00:02,Dashboard Processing
112,7727,00:00:02,Panacea 1 Processing
112,7727,00:00:26,Log Anomaly Processing
112,7727,00:00:00,Downloading
112,7727,00:00:25,Extracting
112,7727,00:01:23,Metrics Parsing
112,7727,00:02:41,Logs Parsing
112,7727,00:02:42,Parsing
112,7727,00:00:13,Caching
112,7727,00:00:03,Dashboard Processing
112,7727,00:00:03,Panacea 1 Processing
112,7727,00:00:23,Log Anomaly Processing
112,7727,00:13:52,Total Time
114,4910,00:00:06,Downloading
114,4910,00:00:17,Extracting
114,4910,00:00:00,Downloading
114,4910,00:01:18,Metrics Parsing
114,4910,00:04:28,Logs Parsing
114,4910,00:04:30,Parsing
114,4910,00:00:19,Caching
114,4910,00:00:11,Dashboard Processing
114,4910,00:00:03,Panacea 1 Processing
114,4910,00:00:01,Log Anomaly Processing
114,4910,00:05:21,LLM Summary Processing
114,4910,00:10:27,Total Time
117,11368,00:00:08,Downloading
117,11368,00:00:38,Extracting
117,11368,00:00:00,Metrics Parsing
117,11368,00:02:13,Logs Parsing
117,11368,00:02:15,Parsing
117,11368,00:00:22,Caching
117,11368,00:00:02,Dashboard Processing
117,11368,00:00:03,Panacea 1 Processing
117,11368,00:00:19,Log Anomaly Processing
117,11368,00:00:00,Downloading
117,11368,00:00:38,Extracting
117,11368,00:00:00,Metrics Parsing
117,11368,00:02:19,Logs Parsing
117,11368,00:02:20,Parsing
117,11368,00:00:04,Caching
117,11368,00:00:05,Dashboard Processing
117,11368,00:00:03,Panacea 1 Processing
117,11368,00:00:14,Log Anomaly Processing
117,11368,00:09:54,LLM Summary Processing
117,11368,00:13:22,Total Time
118,43,00:00:03,Downloading
118,43,00:00:01,Extracting
118,43,00:00:00,Metrics Parsing
118,43,00:00:02,Logs Parsing
118,43,00:00:03,Parsing
118,43,00:00:02,Caching
118,43,00:00:00,Dashboard Processing
118,43,00:00:02,Panacea 1 Processing
118,43,00:01:28,Log Anomaly Processing
118,43,00:11:46,Total Time
119,15522,00:00:14,Downloading
119,15522,00:00:55,Extracting
119,15522,00:01:09,Metrics Parsing
119,15522,00:07:39,Logs Parsing
119,15522,00:07:41,Parsing
119,15522,00:00:16,Caching
119,15522,00:00:01,Dashboard Processing
119,15522,00:00:03,Panacea 1 Processing
119,15522,00:00:03,Log Anomaly Processing
119,15522,00:19:16,Total Time
120,4,00:00:02,Downloading
120,4,00:00:01,Extracting
120,4,00:00:00,Metrics Parsing
120,4,00:00:01,Logs Parsing
